ID	# PATHWAYS CONTAINING	AVG. DIFF. EXP. CASES	DEGREE	IS EXCEPTION?
ENSG00000134107	0	.00	2	true
ENSG00000070831	0	.00	12	true
ENSG00000113649	0	.00	1	true
ENSG00000163904	0	.00	3	true
ENSG00000114978	0	.00	1	true
ENSG00000113648	0	.00	1	true
ENSG00000156374	0	.00	1	true
ENSG00000023608	0	1.00	1	false
ENSG00000113645	0	.00	2	true
ENSG00000066336	0	.00	5	true
ENSG00000112312	0	.00	2	true
ENSG00000112799	0	.00	2	true
ENSG00000077463	0	.00	1	true
ENSG00000157227	0	.00	2	true
ENSG00000169218	0	.00	1	true
ENSG00000099250	0	.00	4	true
ENSG00000167034	0	.00	9	true
ENSG00000124788	0	.00	3	true
ENSG00000101665	0	1.00	5	false
ENSG00000160404	0	.00	1	true
ENSG00000125630	0	.00	1	true
ENSG00000122126	0	.00	1	true
ENSG00000055208	0	.00	4	true
ENSG00000163918	0	.00	2	true
ENSG00000179029	0	.00	4	true
ENSG00000144381	0	.00	3	true
ENSG00000235291	0	.00	2	true
ENSG00000169220	0	.00	1	true
ENSG00000168374	0	.00	2	true
ENSG00000157212	0	.00	2	true
ENSG00000170214	0	.00	1	true
ENSG00000135446	0	.00	10	true
ENSG00000157216	0	.00	2	true
ENSG00000277936	0	.00	2	true
ENSG00000100324	0	.00	1	true
ENSG00000124313	0	.00	1	true
ENSG00000147416	0	.00	2	true
ENSG00000102981	0	.00	1	true
ENSG00000100350	0	.00	3	true
ENSG00000171552	0	.00	11	true
ENSG00000132383	0	.00	11	true
ENSG00000168385	0	.00	4	true
ENSG00000142192	0	.00	9	true
ENSG00000114993	0	.00	1	true
ENSG00000148737	0	.00	1	true
ENSG00000010310	0	.00	2	true
ENSG00000275723	0	.00	1	true
ENSG00000111481	0	.00	2	true
ENSG00000070808	0	.00	2	true
ENSG00000131051	0	.00	1	true
ENSG00000163932	0	.00	2	true
ENSG00000078304	0	.00	3	true
ENSG00000000938	0	.00	2	true
ENSG00000185722	0	.00	3	true
ENSG00000124766	0	.00	3	true
ENSG00000148730	0	.00	1	true
ENSG00000100353	0	.00	8	true
ENSG00000147889	0	.00	10	true
ENSG00000100354	0	.00	2	true
ENSG00000124762	0	.00	10	true
ENSG00000100351	0	.00	1	true
ENSG00000163930	0	.00	1	true
ENSG00000147403	0	.00	1	true
ENSG00000213465	0	.00	1	true
ENSG00000040199	0	.00	1	true
ENSG00000162607	0	.00	1	true
ENSG00000155011	0	.00	1	true
ENSG00000113658	0	.00	2	true
ENSG00000163939	0	.00	2	true
ENSG00000114503	0	.00	3	true
ENSG00000134574	0	.00	5	true
ENSG00000169242	0	1.00	3	false
ENSG00000004059	0	.00	3	true
ENSG00000142182	0	.00	1	true
ENSG00000080603	0	.00	1	true
ENSG00000110148	0	.00	1	true
ENSG00000171564	0	.00	1	true
ENSG00000136750	0	.00	1	true
ENSG00000097046	0	.00	1	true
ENSG00000135424	0	.00	1	true
ENSG00000136754	0	.00	1	true
ENSG00000196839	0	.00	1	true
ENSG00000012504	0	.00	1	true
ENSG00000169248	0	.00	2	true
ENSG00000169245	0	.00	2	true
ENSG00000125629	0	.00	1	true
ENSG00000147873	0	.00	1	true
ENSG00000070814	0	.00	1	true
ENSG00000102524	0	.00	1	true
ENSG00000147874	0	.00	10	true
ENSG00000162613	0	.00	1	true
ENSG00000239672	0	.00	2	true
ENSG00000100345	0	.00	3	true
ENSG00000163946	0	.00	3	true
ENSG00000145216	0	.00	1	true
ENSG00000158517	0	.00	1	true
ENSG00000133216	0	.00	1	true
ENSG00000181374	0	.00	5	true
ENSG00000067225	0	.00	3	true
ENSG00000154153	0	.00	13	true
ENSG00000170242	0	.00	1	true
ENSG00000129195	0	.00	5	true
ENSG00000111424	0	.00	2	true
ENSG00000169252	0	.00	1	true
ENSG00000113600	0	.00	1	true
ENSG00000169251	0	.00	1	true
ENSG00000008405	0	.00	1	true
ENSG00000170248	0	.00	7	true
ENSG00000106070	0	.00	4	true
ENSG00000183560	0	.00	1	true
ENSG00000078369	0	.00	2	true
ENSG00000147862	0	.00	1	true
ENSG00000163956	0	.00	3	true
ENSG00000184897	0	.00	1	true
ENSG00000145687	0	.00	2	true
ENSG00000163950	0	.00	2	true
ENSG00000185745	0	.00	1	true
ENSG00000122566	0	.00	5	true
ENSG00000122565	0	.00	5	true
ENSG00000108256	0	.00	1	true
ENSG00000109103	0	.00	1	true
ENSG00000136738	0	.00	1	true
ENSG00000236104	0	.00	1	true
ENSG00000044574	0	.00	1	true
ENSG00000205420	0	.00	1	true
ENSG00000112742	0	.00	5	true
ENSG00000171100	0	.00	1	true
ENSG00000167085	0	.00	3	true
ENSG00000171105	0	.00	14	true
ENSG00000099284	0	.00	3	true
ENSG00000006210	0	1.00	1	false
ENSG00000142168	0	.00	1	true
ENSG00000175938	0	.00	3	true
ENSG00000142166	0	.00	6	true
ENSG00000163960	0	.00	7	true
ENSG00000167088	0	.00	2	true
ENSG00000259207	0	.00	4	true
ENSG00000147852	0	.00	2	true
ENSG00000164815	0	.00	3	true
ENSG00000143013	0	.00	1	true
ENSG00000163961	0	.00	5	true
ENSG00000145675	0	.00	13	true
ENSG00000143499	0	.00	1	true
ENSG00000283780	0	.00	2	true
ENSG00000214367	0	.00	1	true
ENSG00000154134	0	.00	1	true
ENSG00000274829	0	.00	1	true
ENSG00000170262	0	.00	7	true
ENSG00000069869	0	.00	2	true
ENSG00000067208	0	.00	2	true
ENSG00000132341	0	.00	3	true
ENSG00000130164	0	.00	2	true
ENSG00000111445	0	.00	1	true
ENSG00000197746	0	.00	2	true
ENSG00000118046	0	.00	5	true
ENSG00000171109	0	.00	2	true
ENSG00000102978	0	.00	29	true
ENSG00000102977	0	.00	6	true
ENSG00000184432	0	.00	5	true
ENSG00000100311	0	.00	3	true
ENSG00000102974	0	.00	1	true
ENSG00000122545	0	.00	3	true
ENSG00000102970	0	.00	2	true
ENSG00000161798	0	.00	1	true
ENSG00000136717	0	.00	1	true
ENSG00000213024	0	.00	6	true
ENSG00000109118	0	.00	1	true
ENSG00000044115	1	.00	10	true
ENSG00000110107	0	.00	1	true
ENSG00000131023	0	.00	7	true
ENSG00000118058	0	.00	7	true
ENSG00000130177	0	.00	3	true
ENSG00000132357	0	.00	3	true
ENSG00000110583	0	.00	1	true
ENSG00000132356	0	.00	3	true
ENSG00000273992	0	.00	1	true
ENSG00000101639	0	.00	1	true
ENSG00000081985	0	.00	1	true
ENSG00000100307	0	.00	6	true
ENSG00000094804	0	.00	3	true
ENSG00000151090	0	.00	1	true
ENSG00000090447	0	.00	2	true
ENSG00000100784	0	.00	1	true
ENSG00000102962	0	.00	1	true
ENSG00000109111	0	.00	1	true
ENSG00000182247	0	.00	1	true
ENSG00000183579	0	.00	4	true
ENSG00000106089	0	.00	1	true
ENSG00000142149	0	.00	4	true
ENSG00000132326	0	.00	2	true
ENSG00000135837	0	.00	1	true
ENSG00000089053	0	.00	1	true
ENSG00000132329	0	.00	1	true
ENSG00000129152	0	.00	3	true
ENSG00000112715	0	1.00	7	false
ENSG00000171132	0	.00	3	true
ENSG00000175970	0	.00	1	true
ENSG00000198612	0	.00	7	true
ENSG00000134982	0	.00	5	true
ENSG00000004487	0	.00	27	true
ENSG00000005339	0	.00	17	true
ENSG00000094880	0	.00	3	true
ENSG00000197769	0	.00	5	true
ENSG00000102908	0	.00	2	true
ENSG00000083750	0	.00	4	true
ENSG00000184451	0	.00	2	true
ENSG00000108691	0	1.00	4	false
ENSG00000121671	0	1.00	2	false
ENSG00000271303	0	.00	1	true
ENSG00000105185	0	.00	1	true
ENSG00000185787	0	.00	5	true
ENSG00000072609	0	.00	1	true
ENSG00000124701	0	.00	1	true
ENSG00000163510	0	.00	1	true
ENSG00000160007	0	.00	1	true
ENSG00000163513	0	.00	7	true
ENSG00000179094	0	.00	1	true
ENSG00000134516	0	.00	2	true
ENSG00000170296	0	.00	7	true
ENSG00000154582	0	.00	4	true
ENSG00000262814	0	.00	7	true
ENSG00000004478	0	.00	3	true
ENSG00000008838	0	.00	3	true
ENSG00000158941	0	.00	3	true
ENSG00000155438	0	.00	1	true
ENSG00000198604	0	.00	1	true
ENSG00000154589	0	.00	2	true
ENSG00000175505	0	.00	1	true
ENSG00000196419	0	.00	10	true
ENSG00000100726	0	.00	3	true
ENSG00000079246	0	.00	10	true
ENSG00000082898	0	.00	14	true
ENSG00000117152	0	.00	1	true
ENSG00000182264	0	.00	2	true
ENSG00000105173	0	.00	4	true
ENSG00000258315	0	.00	1	true
ENSG00000100721	1	.00	4	true
ENSG00000092208	0	.00	2	true
ENSG00000184445	0	.00	2	true
ENSG00000163528	0	.00	1	true
ENSG00000145632	0	1.00	1	false
ENSG00000146963	0	.00	1	true
ENSG00000108688	0	.00	6	true
ENSG00000235692	0	.00	1	true
ENSG00000162676	0	.00	1	true
ENSG00000187957	0	.00	2	true
ENSG00000133636	0	.00	1	true
ENSG00000151065	0	.00	2	true
ENSG00000197780	0	.00	3	true
ENSG00000151067	0	.00	3	true
ENSG00000132305	0	.00	2	true
ENSG00000092201	0	.00	2	true
ENSG00000172482	0	.00	2	true
ENSG00000273936	0	.00	1	true
ENSG00000196455	0	.00	1	true
ENSG00000132780	0	.00	1	true
ENSG00000282899	0	.00	4	true
ENSG00000132781	0	.00	2	true
ENSG00000061938	0	.00	1	true
ENSG00000173334	0	1.00	1	false
ENSG00000111880	0	.00	1	true
ENSG00000077044	0	.00	1	true
ENSG00000171159	0	.00	1	true
ENSG00000119335	0	.00	3	true
