Cluster Number	Category	p-value	Raw Pvalue	Enrichment factor	Gene IDs
1	chemokine-mediated signaling pathway - GO:0070098	0.001	1.905022019927707E-57	NaN	[6351, 6373, 6352, 6374, 6355, 6354, 6357, 6356, 2921, 1237, 2920, 3579, 1234, 3577, 3576, 1232, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 6346, 7852, 1230, 6360, 2833, 643, 2532, 6359, 2919, 6358, 10563, 10344, 3627]
1	cell chemotaxis - GO:0060326	0.001	2.880713049775032E-41	NaN	[6351, 6373, 6352, 6374, 6355, 6354, 6357, 6356, 2921, 2920, 3579, 1234, 3577, 3576, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 6346, 7852, 1230, 6360, 2833, 643, 6359, 2919, 6358, 10563, 10344, 3627]
1	cytokine-mediated signaling pathway - GO:0019221	0.001	2.2599560844343884E-35	NaN	[6351, 6373, 6352, 6374, 6355, 4792, 6354, 7124, 6357, 6356, 79155, 2921, 1237, 2920, 3579, 1234, 3577, 3576, 1232, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 5970, 6346, 7852, 1230, 6360, 2833, 643, 2532, 6359, 2919, 6358, 10563, 10344, 3627]
1	cellular response to cytokine stimulus - GO:0071345	0.001	1.896269238809993E-32	NaN	[6351, 6373, 4790, 6352, 6374, 6355, 4792, 6354, 7124, 6357, 6356, 79155, 2921, 1237, 2920, 3579, 1234, 3577, 3576, 1232, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 5970, 6346, 7852, 1230, 6360, 2833, 643, 2532, 6359, 2919, 6358, 10563, 10344, 3627]
1	chemotaxis - GO:0006935	0.001	2.9518888459445975E-30	NaN	[6351, 6373, 6352, 6374, 6355, 6354, 6357, 6356, 2921, 1237, 2920, 3579, 1234, 3577, 3576, 1232, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 6346, 7852, 1230, 6360, 2833, 643, 6359, 2919, 6358, 10563, 10344, 3627]
1	lymphocyte chemotaxis - GO:0048247	0.001	5.19397673507006E-26	NaN	[6373, 4283, 6361, 6355, 729230, 6346, 6357, 6356, 6360, 2833, 6359, 6348, 6369, 6358, 10563, 10344, 3627]
1	cytokine activity - GO:0005125	0.001	9.940311634657751E-26	NaN	[6351, 6373, 6352, 6374, 6355, 6354, 7124, 6357, 6356, 2921, 2920, 3576, 6348, 6347, 6369, 4283, 6361, 5473, 6346, 6360, 6359, 2919, 6358, 10563, 10344, 3627]
1	neutrophil chemotaxis - GO:0030593	0.001	3.810658233937726E-25	NaN	[6351, 6361, 6352, 5473, 6355, 6354, 6346, 6357, 6356, 6360, 2921, 3579, 3576, 6359, 6348, 6347, 6369, 6358, 10344]
1	granulocyte chemotaxis - GO:0071621	0.001	7.176290320547678E-25	NaN	[6351, 6361, 6352, 5473, 6355, 6354, 6346, 6357, 6356, 6360, 2921, 3579, 3576, 6359, 6348, 6347, 6369, 6358, 10344]
1	localization of cell - GO:0051674	0.001	1.656914123973665E-24	NaN	[6351, 6373, 6352, 6374, 6355, 6354, 7124, 6357, 6356, 2921, 2920, 3579, 1234, 3577, 3576, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 6346, 7852, 1230, 7291, 6360, 2833, 643, 2113, 6359, 2919, 6358, 10563, 10344, 3627]
1	cell motility - GO:0048870	0.001	1.656914123973665E-24	NaN	[6351, 6373, 6352, 6374, 6355, 6354, 7124, 6357, 6356, 2921, 2920, 3579, 1234, 3577, 3576, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 6346, 7852, 1230, 7291, 6360, 2833, 643, 2113, 6359, 2919, 6358, 10563, 10344, 3627]
1	locomotion - GO:0040011	0.001	1.1428783347897713E-23	NaN	[6351, 6373, 6352, 6374, 6355, 6354, 7124, 6357, 6356, 2921, 1237, 2920, 3579, 1234, 3577, 3576, 1232, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 6346, 7852, 1230, 7291, 6360, 2833, 643, 2113, 6359, 2919, 6358, 10563, 10344, 3627]
1	cell migration - GO:0016477	0.001	1.2198319380086878E-23	NaN	[6351, 6373, 6352, 6374, 6355, 6354, 7124, 6357, 6356, 2921, 2920, 3579, 1234, 3577, 3576, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 6346, 7852, 1230, 7291, 6360, 2833, 643, 6359, 2919, 6358, 10563, 10344, 3627]
1	response to external stimulus - GO:0009605	0.001	1.7214721457370803E-22	NaN	[6351, 6373, 4790, 6352, 6374, 4791, 6355, 4792, 6354, 4793, 7124, 6357, 6356, 79155, 2921, 1237, 2920, 3579, 1234, 3577, 3576, 1232, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 5970, 6346, 7852, 1230, 6360, 2833, 643, 2113, 6359, 2919, 6358, 8517, 10563, 10344, 3627]
1	regulation of leukocyte migration - GO:0002685	0.001	5.532227103123701E-22	NaN	[6351, 6373, 4283, 6352, 5473, 6374, 729230, 6354, 7124, 6346, 6357, 1230, 2833, 2921, 2920, 3576, 6348, 2919, 6347, 6369, 10563, 3627]
1	regulation of leukocyte chemotaxis - GO:0002688	0.001	2.889348981559075E-21	NaN	[6351, 6373, 4283, 6352, 5473, 6374, 729230, 6354, 6346, 6357, 1230, 2921, 2920, 3576, 6348, 2919, 6347, 10563, 3627]
1	mononuclear cell migration - GO:0071674	0.001	5.411279918442834E-21	NaN	[6351, 6361, 6352, 6355, 6354, 6346, 6357, 6356, 6360, 6359, 6348, 6347, 6369, 6358, 10344]
1	immune system process - GO:0002376	0.001	7.048553492252071E-21	NaN	[6351, 6373, 4790, 6352, 6374, 4791, 6355, 4792, 6354, 7124, 6357, 6356, 79155, 2921, 1237, 2920, 3579, 1234, 3577, 10616, 3576, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 5970, 6346, 5971, 7852, 1230, 6360, 2833, 1326, 643, 2113, 6359, 2919, 6358, 8517, 10563, 5966, 10344, 3627]
1	regulation of chemotaxis - GO:0050920	0.001	1.3979769153227746E-19	NaN	[6351, 6373, 4283, 6352, 5473, 6374, 729230, 6354, 6346, 6357, 7852, 1230, 2921, 2920, 3576, 6348, 2919, 6347, 10563, 10344, 3627]
1	positive regulation of chemotaxis - GO:0050921	0.001	2.4060242487673704E-18	NaN	[6351, 6373, 4283, 6352, 5473, 6374, 729230, 6354, 6346, 6357, 1230, 2921, 2920, 3576, 6348, 2919, 10563, 10344, 3627]
1	response to organic substance - GO:0010033	0.001	4.963636848845564E-18	NaN	[6351, 6373, 4790, 6352, 6374, 4791, 6355, 4792, 6354, 4793, 7124, 6357, 6356, 79155, 2921, 1237, 2920, 3579, 1234, 3577, 3576, 1232, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 5970, 6346, 5971, 7852, 1230, 7291, 6360, 2833, 643, 2532, 2113, 6359, 2919, 6358, 10563, 5966, 10344, 3627]
1	positive regulation of response to external stimulus - GO:0032103	0.001	7.792916089802483E-18	NaN	[6351, 6373, 4283, 6352, 5473, 6374, 729230, 4792, 6354, 7124, 6346, 6357, 1230, 2921, 2920, 3576, 2113, 6348, 2919, 6369, 10563, 10344, 3627]
1	CXCR chemokine receptor binding - GO:0045236	0.001	2.436127419805979E-16	NaN	[6373, 4283, 2921, 2920, 5473, 6374, 3576, 2919, 10563, 3627]
1	response to lipopolysaccharide - GO:0032496	0.001	7.000031591308976E-16	NaN	[6373, 4283, 4790, 6352, 5473, 6374, 4791, 4792, 4793, 5970, 7124, 6357, 79155, 2921, 2920, 1234, 3576, 6348, 2919, 6347, 10563, 3627]
1	cellular response to chemical stimulus - GO:0070887	0.001	9.73419405890731E-16	NaN	[6351, 6373, 4790, 6352, 6374, 6355, 4792, 6354, 4793, 7124, 6357, 6356, 79155, 2921, 1237, 2920, 3579, 1234, 3577, 3576, 1232, 6348, 6347, 6369, 4283, 6361, 5473, 729230, 5970, 6346, 7852, 1230, 7291, 6360, 2833, 643, 2532, 2113, 6359, 2919, 6358, 10563, 10344, 3627]
1	cellular calcium ion homeostasis - GO:0006874	0.001	1.4726515539480048E-15	NaN	[6373, 4283, 6352, 6355, 729230, 6354, 6346, 6357, 6356, 7852, 1230, 2833, 1237, 1234, 1232, 6359, 6348, 6358, 10563, 3627]
1	calcium ion homeostasis - GO:0055074	0.001	1.728223872949768E-15	NaN	[6373, 4283, 6352, 6355, 729230, 6354, 6346, 6357, 6356, 7852, 1230, 2833, 1237, 1234, 1232, 6359, 6348, 6358, 10563, 3627]
1	cellular response to tumor necrosis factor - GO:0071356	0.001	2.8807130497750438E-15	NaN	[6351, 6361, 6352, 6355, 4792, 6354, 5970, 7124, 6346, 6357, 6356, 6360, 3576, 6359, 6348, 6347, 6369, 6358, 10344]
1	divalent inorganic cation homeostasis - GO:0072507	0.001	3.8273660480981404E-15	NaN	[6373, 4283, 6352, 6355, 729230, 6354, 6346, 6357, 6356, 7852, 1230, 2833, 1237, 1234, 1232, 6359, 6348, 6358, 10563, 3627]
1	cellular response to interferon-gamma - GO:0071346	0.001	6.295061828571968E-15	NaN	[6351, 6361, 6352, 6355, 6354, 6346, 6357, 6356, 6360, 6359, 6348, 6347, 6369, 6358, 10344]
1	response to tumor necrosis factor - GO:0034612	0.001	9.410224835267497E-15	NaN	[6351, 6361, 6352, 6355, 4792, 6354, 5970, 7124, 6346, 6357, 6356, 6360, 3576, 6359, 6348, 6347, 6369, 6358, 10344]
1	chemokine receptor activity - GO:0004950	0.001	1.5642277998091E-14	NaN	[2833, 1237, 3579, 729230, 1234, 643, 3577, 1232, 7852, 1230]
1	positive regulation of locomotion - GO:0040017	0.001	1.974694879409334E-14	NaN	[6351, 6373, 4283, 6352, 5473, 6374, 729230, 6354, 7124, 6346, 6357, 6356, 1230, 7291, 2921, 2920, 3576, 2113, 6348, 2919, 6369, 10563, 10344, 3627]
1	response to other organism - GO:0051707	0.001	2.1562544068071935E-14	NaN	[6351, 6373, 4790, 6352, 6374, 4791, 6355, 4792, 4793, 7124, 6357, 6356, 79155, 2921, 2920, 1234, 3576, 6348, 6347, 4283, 5473, 5970, 7852, 2919, 8517, 10563, 3627]
1	response to external biotic stimulus - GO:0043207	0.001	2.1562544068071935E-14	NaN	[6351, 6373, 4790, 6352, 6374, 4791, 6355, 4792, 4793, 7124, 6357, 6356, 79155, 2921, 2920, 1234, 3576, 6348, 6347, 4283, 5473, 5970, 7852, 2919, 8517, 10563, 3627]
1	response to interferon-gamma - GO:0034341	0.001	3.122482406223274E-14	NaN	[6351, 6361, 6352, 6355, 6354, 6346, 6357, 6356, 6360, 6359, 6348, 6347, 6369, 6358, 10344]
1	response to biotic stimulus - GO:0009607	0.001	4.467864566912838E-14	NaN	[6351, 6373, 4790, 6352, 6374, 4791, 6355, 4792, 4793, 7124, 6357, 6356, 79155, 2921, 2920, 1234, 3576, 6348, 6347, 4283, 5473, 5970, 7852, 2919, 8517, 10563, 3627]
1	metal ion homeostasis - GO:0055065	0.001	3.385322128153544E-13	NaN	[6373, 4283, 6352, 6355, 729230, 6354, 6346, 6357, 6356, 7852, 1230, 2833, 1237, 1234, 1232, 6359, 6348, 6358, 10563, 3627]
